user_id,item_id,Action
9182230,85960575,viewed
9182230,96060130,viewed
9182230,41017074,purchased
9182230,72027396,viewed
9182230,69990996,purchased
9182230,19007293,viewed
9182230,41230899,purchased
9182230,97285553,viewed
9182230,84467244,purchased
9182230,56177215,viewed
9182230,72027396,purchased
9182230,72947417,purchased
9182230,80617906,purchased
9182230,57286383,added_to_cart
9182230,29873462,purchased
9182230,56511249,added_to_cart
9182230,56995127,purchased
9182230,58459944,purchased
9182230,70763957,purchased
9182230,48128288,purchased
9182230,25232433,purchased
9182230,20230130,purchased
9182230,45464537,purchased
9182230,91876483,purchased
9182230,24627351,purchased
9182230,55636732,added_to_cart
9182230,24817209,added_to_cart
9182230,71218149,purchased
9182230,93859371,purchased
9182230,14238359,purchased
9182230,40955274,added_to_cart
9182230,70836839,added_to_cart
9182230,12062003,purchased
9182230,88600039,purchased
9182230,26001218,purchased
9182230,41736627,viewed
9182230,43320640,viewed
9182230,33877556,purchased
9182230,66564205,viewed
9182230,13215779,added_to_cart
9182230,64780715,purchased
9182230,15045695,purchased
9182230,71218149,added_to_cart
9182230,84551741,purchased
9182230,80139272,viewed
9182230,68746807,purchased
9182230,63207315,viewed
9182230,91265679,added_to_cart
9182230,96616274,purchased
9182230,84738041,viewed
9490870,25822521,purchased
9490870,19868556,purchased
9490870,45464537,viewed
9490870,93217219,added_to_cart
9490870,86720844,purchased
9490870,75542512,viewed
9490870,70836839,purchased
9490870,19334834,purchased
9490870,91235959,viewed
9490870,97184960,purchased
9490870,88580569,purchased
9490870,96061812,added_to_cart
9490870,66564205,added_to_cart
9490870,28885892,purchased
9490870,21498864,viewed
9490870,62714424,purchased
9490870,32050095,viewed
9490870,32704637,purchased
9490870,72471797,added_to_cart
9490870,20702337,purchased
9490870,75672112,viewed
9490870,94016033,added_to_cart
9490870,72280796,purchased
9490870,82623799,added_to_cart
9490870,13606502,purchased
9490870,84610084,viewed
9490870,85468320,viewed
9490870,46588721,purchased
9490870,16143121,purchased
9490870,54435275,purchased
9490870,18306285,purchased
9490870,33979719,purchased
9490870,68851518,added_to_cart
9490870,42895744,purchased
9490870,23303587,purchased
1462203,79943660,viewed
1462203,87901319,purchased
1462203,93065880,purchased
1462203,69351288,purchased
1462203,66879305,added_to_cart
1462203,60785620,purchased
1462203,14238359,purchased
1462203,26976692,viewed
1462203,70763957,purchased
1462203,46080865,purchased
1462203,39411478,purchased
1462203,44004218,added_to_cart
1462203,62232937,purchased
1462203,99045781,added_to_cart
1462203,51826841,added_to_cart
1462203,82123201,added_to_cart
1462203,56177215,purchased
1462203,42441102,purchased
1462203,84782594,purchased
1462203,61740916,added_to_cart
1462203,67666049,added_to_cart
1462203,66562698,purchased
1462203,19070377,viewed
1462203,19545357,purchased
1462203,57561979,purchased
1462203,12062003,purchased
1462203,78542947,viewed
1462203,42452934,added_to_cart
1462203,24392396,purchased
1462203,78071139,purchased
1462203,40128361,purchased
1462203,54529865,purchased
1462203,98453270,added_to_cart
1462203,51404806,purchased
7131610,64353782,purchased
7131610,59345542,added_to_cart
7131610,13841283,purchased
7131610,19382308,purchased
7131610,24718532,added_to_cart
7131610,74217313,viewed
7131610,33020478,purchased
7131610,87505110,purchased
7131610,65680546,purchased
7131610,80101212,purchased
7131610,81768132,purchased
7131610,35233603,viewed
7131610,16362488,purchased
7131610,19545357,added_to_cart
7131610,62471164,purchased
7131610,12724944,added_to_cart
7131610,25992447,purchased
7131610,30636680,added_to_cart
7131610,33123186,purchased
7131610,46800477,purchased
7131610,55849809,purchased
7131610,64509648,purchased
7131610,62654217,viewed
7131610,73402506,purchased
7131610,67457436,purchased
7131610,47980766,added_to_cart
7131610,15125919,viewed
7131610,97285553,added_to_cart
7131610,15605395,added_to_cart
7131610,91876483,purchased
7131610,72947417,added_to_cart
7131610,20153807,added_to_cart
